Date,Open,Close,High,Low
2006-05-29,1.273,1.2768,1.2747,1.2717
2006-05-30,1.2749,1.2908,1.2873,1.2739
2006-05-31,1.2873,1.2903,1.2812,1.2802
2006-06-01,1.2817,1.2824,1.2809,1.2721
2006-06-02,1.2814,1.2937,1.2921,1.2792
2006-06-05,1.2924,1.298,1.2903,1.2897
2006-06-06,1.2901,1.2933,1.2817,1.2806
2006-06-07,1.2823,1.2837,1.2797,1.2756
2006-06-08,1.2802,1.2808,1.265,1.2625
2006-06-09,1.2652,1.2683,1.264,1.2595
2006-06-12,1.2614,1.2651,1.2579,1.2565
2006-06-13,1.258,1.2614,1.2544,1.2528
2006-06-14,1.2543,1.2646,1.2604,1.2534
2006-06-15,1.2604,1.2656,1.2629,1.2581
2006-06-16,1.263,1.2673,1.2636,1.2616
2006-06-19,1.2647,1.2653,1.2574,1.2548
2006-06-20,1.2573,1.2616,1.2578,1.2535
2006-06-21,1.2584,1.2678,1.2664,1.2578
2006-06-22,1.2661,1.2679,1.2568,1.255
2006-06-23,1.2569,1.2592,1.2509,1.2475
2006-06-26,1.2506,1.2603,1.2584,1.2499
2006-06-27,1.2587,1.2618,1.2579,1.256
2006-06-28,1.2572,1.2584,1.2545,1.2512
2006-06-29,1.2547,1.2669,1.2667,1.2515
2006-06-30,1.2665,1.279,1.2789,1.2654
2006-07-03,1.2786,1.282,1.2791,1.2758
2006-07-04,1.2792,1.2823,1.2786,1.2783
2006-07-05,1.2789,1.2839,1.2718,1.2702
2006-07-06,1.272,1.2781,1.2775,1.2717
2006-07-07,1.2778,1.2859,1.2812,1.2762
2006-07-10,1.2811,1.2818,1.2735,1.2716
2006-07-11,1.2738,1.2777,1.2766,1.2704
2006-07-12,1.2764,1.2779,1.27,1.267
2006-07-13,1.2702,1.273,1.2692,1.2664
2006-07-14,1.2691,1.2697,1.2644,1.2622
2006-07-17,1.2633,1.2646,1.252,1.2508
2006-07-18,1.2519,1.2559,1.2502,1.2479
2006-07-19,1.2505,1.2609,1.2592,1.2458
2006-07-20,1.2594,1.2653,1.2627,1.2586
2006-07-21,1.2627,1.2696,1.2695,1.2623
2006-07-24,1.2702,1.2707,1.2634,1.2608
2006-07-25,1.2633,1.2674,1.2579,1.2562
2006-07-26,1.258,1.2724,1.2716,1.2558
2006-07-27,1.2713,1.2772,1.2692,1.2679
2006-07-28,1.2695,1.2769,1.2747,1.2655
2006-07-31,1.2762,1.2781,1.2766,1.2739
2006-08-01,1.2763,1.2829,1.2822,1.2718
2006-08-02,1.2816,1.2835,1.2788,1.2774
2006-08-03,1.279,1.2834,1.2801,1.2739
2006-08-04,1.2803,1.2909,1.2878,1.2766
2006-08-07,1.2884,1.2892,1.2815,1.2815
2006-08-08,1.2817,1.2891,1.2821,1.2806
2006-08-09,1.2822,1.2902,1.2863,1.2764
2006-08-10,1.2863,1.2909,1.2793,1.2747
2006-08-11,1.2792,1.2799,1.2721,1.2717
2006-08-14,1.2711,1.2763,1.2722,1.2708
2006-08-15,1.2719,1.2802,1.2784,1.2695
2006-08-16,1.2783,1.2864,1.2839,1.2767
2006-08-17,1.2839,1.2886,1.2826,1.2812
2006-08-18,1.2827,1.2845,1.2823,1.2779
2006-08-21,1.2873,1.2938,1.2886,1.2829
2006-08-22,1.2888,1.2888,1.2805,1.2784
2006-08-23,1.2804,1.285,1.2786,1.2777
2006-08-24,1.2787,1.284,1.2763,1.2751
2006-08-25,1.2765,1.2782,1.2751,1.2725
2006-08-28,1.2759,1.282,1.2784,1.2754
2006-08-29,1.2783,1.2838,1.2829,1.2751
2006-08-30,1.283,1.2852,1.2837,1.2811
2006-08-31,1.2834,1.2879,1.2806,1.2785
2006-09-01,1.2805,1.2846,1.2835,1.2756
2006-09-04,1.284,1.2874,1.286,1.2839
2006-09-05,1.286,1.2865,1.2817,1.2796
2006-09-06,1.2818,1.2832,1.2804,1.277
2006-09-07,1.2804,1.283,1.2733,1.2706
2006-09-08,1.2734,1.2742,1.2677,1.265
2006-09-11,1.2667,1.2739,1.2701,1.2651
2006-09-12,1.27,1.2732,1.2682,1.2673
2006-09-13,1.2683,1.2717,1.2699,1.2667
2006-09-14,1.2698,1.275,1.2724,1.2676
2006-09-15,1.2723,1.2735,1.2661,1.2632
2006-09-18,1.2643,1.271,1.2702,1.2642
2006-09-19,1.2702,1.2726,1.2671,1.265
2006-09-20,1.2671,1.2727,1.2687,1.2663
2006-09-21,1.2688,1.2798,1.2781,1.2681
2006-09-22,1.278,1.283,1.2783,1.2776
2006-09-25,1.2789,1.2819,1.2746,1.2731
2006-09-26,1.2746,1.276,1.2683,1.2662
2006-09-27,1.2682,1.2718,1.2701,1.2674
2006-09-28,1.27,1.2732,1.2695,1.2678
2006-09-29,1.2695,1.2713,1.2674,1.2639
2006-10-02,1.268,1.2758,1.2739,1.2661
2006-10-03,1.2737,1.2765,1.2727,1.2719
2006-10-04,1.2728,1.2738,1.2715,1.2667
2006-10-05,1.2715,1.2725,1.2688,1.2672
2006-10-06,1.269,1.2704,1.2599,1.2573
2006-10-09,1.2589,1.2613,1.2593,1.2585
2006-10-10,1.2594,1.2613,1.2535,1.2518
2006-10-11,1.2533,1.2556,1.2521,1.2502
2006-10-12,1.2523,1.2564,1.2561,1.2516
2006-10-13,1.256,1.2577,1.2512,1.2483
2006-10-16,1.2502,1.2537,1.2532,1.2489
2006-10-17,1.2533,1.2566,1.2537,1.2509
2006-10-18,1.2537,1.2558,1.2531,1.2501
2006-10-19,1.2531,1.264,1.2623,1.253
2006-10-20,1.2624,1.2639,1.2615,1.2597
2006-10-23,1.2615,1.2621,1.255,1.2534
2006-10-24,1.2548,1.2576,1.2553,1.2525
2006-10-25,1.2554,1.2622,1.2606,1.255
2006-10-26,1.2606,1.2701,1.2688,1.2605
2006-10-27,1.2688,1.2749,1.274,1.2663
2006-10-30,1.273,1.2735,1.2724,1.2699
2006-10-31,1.2724,1.2782,1.2762,1.2679
2006-11-01,1.2761,1.2798,1.2756,1.2742
2006-11-02,1.2754,1.2783,1.2779,1.2736
2006-11-03,1.2779,1.2785,1.2718,1.2682
2006-11-06,1.2717,1.2725,1.2723,1.2689
2006-11-07,1.2723,1.2819,1.2773,1.2721
2006-11-08,1.2774,1.2807,1.2757,1.2745
2006-11-09,1.2756,1.2848,1.2829,1.275
2006-11-10,1.2827,1.2898,1.284,1.2826
2006-11-13,1.2846,1.2877,1.2805,1.2795
2006-11-14,1.2805,1.287,1.281,1.2791
2006-11-15,1.281,1.2834,1.2827,1.2774
2006-11-16,1.2828,1.2839,1.2795,1.2784
2006-11-17,1.2795,1.2845,1.2826,1.2762
2006-11-20,1.2829,1.2851,1.2816,1.2805
2006-11-21,1.2815,1.2854,1.2842,1.2797
2006-11-22,1.2842,1.2956,1.2942,1.2838
2006-11-23,1.2941,1.2975,1.2947,1.2926
2006-11-24,1.2944,1.3107,1.3094,1.2942
2006-11-27,1.3129,1.3166,1.3132,1.3087
2006-11-28,1.3133,1.3208,1.3199,1.3117
2006-11-29,1.3198,1.3217,1.3153,1.3133
2006-11-30,1.3153,1.3274,1.3241,1.3142
2006-12-01,1.3241,1.3348,1.3337,1.3218
2006-12-04,1.3333,1.3367,1.3339,1.3282
2006-12-05,1.3339,1.336,1.3317,1.3287
2006-12-06,1.3317,1.334,1.3284,1.3255
2006-12-07,1.3284,1.3323,1.3287,1.3275
2006-12-08,1.3283,1.3363,1.3201,1.3193
2006-12-11,1.3178,1.3262,1.3237,1.313
2006-12-12,1.3236,1.3291,1.3284,1.3214
2006-12-13,1.3284,1.3288,1.3212,1.3192
2006-12-14,1.3212,1.3251,1.3144,1.314
2006-12-15,1.3144,1.3184,1.3081,1.306
2006-12-18,1.3082,1.3117,1.3096,1.3052
2006-12-19,1.3096,1.3215,1.3198,1.3082
2006-12-20,1.3197,1.3244,1.3172,1.316
2006-12-21,1.3173,1.3214,1.3176,1.3141
2006-12-22,1.3175,1.3212,1.3127,1.3109
2006-12-25,1.3118,1.3164,1.3119,1.3099
2006-12-26,1.312,1.3141,1.3096,1.309
2006-12-27,1.3096,1.3177,1.3114,1.3096
2006-12-28,1.3115,1.32,1.3147,1.3105
2006-12-29,1.3148,1.3204,1.3197,1.3137
