Date,Open,Close,High,Low
2007-02-21,1.2364,1.2413,1.2379,1.2339
2007-02-22,1.2378,1.2435,1.2381,1.2371
2007-02-23,1.2383,1.241,1.2325,1.2295
2007-02-26,1.2323,1.2332,1.2298,1.2287
2007-02-27,1.23,1.2306,1.2178,1.2143
2007-02-28,1.2176,1.2242,1.2196,1.2171
2007-03-01,1.2195,1.2234,1.2217,1.2146
2007-03-02,1.2218,1.2259,1.2163,1.2145
2007-03-05,1.2165,1.2242,1.2207,1.2109
2007-03-06,1.2206,1.2254,1.223,1.2193
2007-03-07,1.223,1.2247,1.2174,1.2165
2007-03-08,1.2171,1.2295,1.2276,1.2159
2007-03-09,1.2276,1.2355,1.2346,1.2257
2007-03-12,1.2329,1.235,1.2245,1.2235
2007-03-13,1.2246,1.226,1.2177,1.2167
2007-03-14,1.2176,1.2198,1.2167,1.2103
2007-03-15,1.217,1.2215,1.2173,1.2135
2007-03-16,1.2171,1.2174,1.2069,1.2031
2007-03-19,1.2057,1.2145,1.2121,1.2047
2007-03-20,1.2124,1.2159,1.2118,1.2108
2007-03-21,1.2118,1.2166,1.2095,1.2085
2007-03-22,1.2095,1.2181,1.2143,1.2076
2007-03-23,1.2143,1.2193,1.219,1.2112
2007-03-26,1.2189,1.2227,1.2155,1.2117
2007-03-27,1.2153,1.2167,1.2129,1.2117
2007-03-28,1.2119,1.2179,1.2162,1.2084
2007-03-29,1.2161,1.2186,1.2176,1.2135
2007-03-30,1.2175,1.2238,1.2154,1.2084
2007-04-02,1.2134,1.2173,1.2153,1.2119
2007-04-03,1.2152,1.2232,1.2225,1.2146
2007-04-04,1.2223,1.2232,1.2199,1.2173
2007-04-05,1.2199,1.2211,1.2149,1.2123
2007-04-06,1.215,1.2228,1.222,1.2147
2007-04-09,1.222,1.2284,1.2267,1.2217
2007-04-10,1.2267,1.227,1.2165,1.2143
2007-04-11,1.2164,1.2224,1.2207,1.2163
2007-04-12,1.2206,1.2244,1.217,1.2132
2007-04-13,1.2168,1.2188,1.2146,1.2068
2007-04-16,1.2133,1.2146,1.2142,1.2115
2007-04-17,1.2143,1.215,1.2085,1.2065
2007-04-18,1.2084,1.209,1.2037,1.2025
2007-04-19,1.2038,1.2063,1.2045,1.2003
2007-04-20,1.2046,1.209,1.2084,1.2037
2007-04-23,1.2078,1.2126,1.2095,1.2056
2007-04-24,1.2095,1.2105,1.2014,1.2007
2007-04-25,1.2012,1.2056,1.2044,1.1996
2007-04-26,1.2045,1.2098,1.2086,1.2031
2007-04-27,1.2085,1.2104,1.2055,1.2005
2007-04-30,1.2047,1.2103,1.2072,1.2031
2007-05-01,1.207,1.2163,1.2145,1.2051
2007-05-02,1.2143,1.2188,1.2135,1.2117
2007-05-03,1.2137,1.217,1.216,1.2094
2007-05-04,1.2158,1.2165,1.2113,1.2099
2007-05-07,1.21,1.2118,1.2111,1.2083
2007-05-08,1.2111,1.2194,1.2182,1.2103
2007-05-09,1.2182,1.2192,1.2186,1.2142
2007-05-10,1.2188,1.2222,1.2198,1.2158
2007-05-11,1.2199,1.2212,1.2189,1.2169
2007-05-14,1.2183,1.2205,1.2191,1.2168
2007-05-15,1.2191,1.2203,1.2153,1.2127
2007-05-16,1.2151,1.2247,1.2235,1.2139
2007-05-17,1.2232,1.228,1.2271,1.2199
2007-05-18,1.2271,1.228,1.2271,1.2244
2007-05-21,1.2265,1.2331,1.2306,1.2265
2007-05-22,1.2306,1.2328,1.2297,1.2282
2007-05-23,1.2297,1.231,1.2277,1.2241
2007-05-24,1.2274,1.2314,1.2278,1.2265
2007-05-25,1.2276,1.2292,1.2282,1.2256
2007-05-28,1.227,1.2287,1.2286,1.2265
2007-05-29,1.2286,1.2306,1.2254,1.22
2007-05-30,1.2253,1.2276,1.2256,1.2237
2007-05-31,1.2253,1.2271,1.2252,1.2232
2007-06-01,1.2252,1.2329,1.2297,1.2245
2007-06-04,1.2297,1.2307,1.2235,1.2216
2007-06-05,1.2235,1.224,1.218,1.2163
2007-06-06,1.218,1.2188,1.2162,1.2148
2007-06-07,1.2161,1.2266,1.2238,1.216
2007-06-08,1.2239,1.2366,1.2351,1.2237
2007-06-11,1.2353,1.2401,1.2381,1.2353
2007-06-12,1.2381,1.2431,1.2424,1.2374
2007-06-13,1.2423,1.2468,1.2444,1.2416
2007-06-14,1.2443,1.2468,1.2462,1.2433
2007-06-15,1.2463,1.2465,1.2412,1.241
2007-06-18,1.2417,1.2423,1.2421,1.2387
2007-06-19,1.242,1.2427,1.2406,1.2392
2007-06-20,1.2405,1.2407,1.2372,1.2354
2007-06-21,1.2374,1.2426,1.2414,1.237
2007-06-22,1.2413,1.2421,1.2291,1.2285
2007-06-25,1.2288,1.2311,1.2284,1.2271
2007-06-26,1.2283,1.2306,1.2279,1.2261
